finding_id,page_url,js_source,line,endpoint_expression,http_method,execution_side,page_access,api_auth_type,call_mechanism,confidence,summary
GMI-C441AF9E,https://www.rbcis.com/fr/gmi/global-custody/holiday-calendar.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar.js,160,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(),GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(). Authentication: No explicit auth observed (cookies may still apply).
GMI-3A580A69,https://www.rbcis.com/fr/gmi/global-custody/holiday-calendar.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar.js,290,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5,GET,Client,Public,No explicit auth observed (cookies may still apply),jQuery shorthand,Confirmed source occurrence,Public page statically includes a client-side jQuery shorthand GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5. Authentication: No explicit auth observed (cookies may still apply).
GMI-1C1E6C9E,https://www.rbcis.com/fr/gmi/global-custody/market-newsflash.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/market-newsflash-25-fr.js,27,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=20,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1&count=20. Authentication: Client-embedded credential (Basic).
GMI-46AB2FA0,https://www.rbcis.com/fr/gmi/global-custody/market-newsflash.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/market-newsflash-25-fr.js,95,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=1. Authentication: Client-embedded credential (Basic).
GMI-E85B3980,https://www.rbcis.com/fr/gmi/global-custody/tax-profiles.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/tax-bulletins.js,26,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2&count=20,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2&count=20. Authentication: Client-embedded credential (Basic).
GMI-529E2C1A,https://www.rbcis.com/fr/gmi/global-custody/tax-profiles.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/tax-bulletins.js,101,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=2. Authentication: Client-embedded credential (Basic).
GMI-EEB30E9C,https://www.rbcis.com/fr/gmi/global-custody/updates.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/updates-25.js,24,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=10,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3&count=10. Authentication: Client-embedded credential (Basic).
GMI-A9CACC47,https://www.rbcis.com/fr/gmi/global-custody/updates.page,https://www.rbcis.com/assets/rbcits/js/sub/gmi/updates-25.js,92,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3,GET,Client,Public,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Public page statically includes a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=3. Authentication: Client-embedded credential (Basic).
GMI-6B3D6AEF,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-23.js,28,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-F06A0E21,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-23.js,41,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-2301D791,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-23.min.js,3,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-61C4EE5F,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-23.min.js,3,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-485D3584,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-cm-23.js,26,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-2B82C6FE,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-cm-23.min.js,1,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-190511AA,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-cm.js,26,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-03F29F4C,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-cm.min.js,1,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-71029B27,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-fr-23.js,28,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=50,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=50; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-E478DF79,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-fr-23.js,40,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=50,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=50; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-40F5D69D,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-fr.js,28,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=50,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=50; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-09659E53,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe-fr.js,40,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=50,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=50; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-0FE37E63,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe.js,28,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-AF3119CD,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe.js,41,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-94761F6D,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe.min.js,3,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-BCFCAE83,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bbe.min.js,3,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=8&count=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-E6F42F51,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bulletin-ccm-23.js,27,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=20,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=20; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-1A5A3801,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bulletin-ccm-23.js,95,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-A84AD857,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bulletin-ccm-view-23.js,146,https://apps.rbcits.com/GMIService/api/CADMarketNews/getUrlParameter('id'),GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/CADMarketNews/getUrlParameter('id'); no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-413CB42B,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bulletin-ccm-view.js,146,https://apps.rbcits.com/GMIService/api/CADMarketNews/getUrlParameter('id'),GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/CADMarketNews/getUrlParameter('id'); no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-6B706D49,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bulletin-ccm.js,27,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=20,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15&count=20; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-17298559,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/bulletin-ccm.js,95,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=15; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-3E6A9F8D,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news-23.js,27,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-6AE00A78,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news-23.js,95,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-ECB88E67,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news-23.min.js,3,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-4E19F23B,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news-23.min.js,5,"https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6[],d=0",GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,"Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6[],d=0; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic)."
GMI-6C4FF377,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news.js,27,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-32C17F8E,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news.js,95,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-315B01C1,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news.min.js,3,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6&count=10; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-C39E1605,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/canadian-market-news.min.js,5,"https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6[],d=0",GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,"Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=6[],d=0; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic)."
GMI-4BF16212,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-23-test.js,456,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(),GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(); no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-6F92108D,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-23-test.js,587,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-1C1FECF7,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-23.1-bundle.js,456,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(),GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=self.selectedDay(); no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-4D74C258,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-23.1-bundle.js,587,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-5EE5A112,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-23.1-bundle.min.js,1,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
GMI-77610CA1,No importing page found among scanned pages,https://www.rbcis.com/assets/rbcits/js/sub/gmi/holiday-calendar-23.1-bundle.min.js,1,https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=new Date,GET,Client,Unmapped,Client-embedded credential (Basic),jQuery.ajax,Confirmed source occurrence,Listed script contains a client-side jQuery.ajax GET call to https://apps.rbcits.com/GMIService/api/Search?gmiFormId=5&date=new Date; no importing page found among rechecked pages. Authentication: Client-embedded credential (Basic).
